"Wochentag";"Datum";"Abfuhrart"
"Dienstag";"06.01.2026";"Biotonne"
"Montag";"12.01.2026";"Reststoff"
"Donnerstag";"15.01.2026";"Blaue Tonne"
"Dienstag";"20.01.2026";"Biotonne"
"Dienstag";"27.01.2026";"Gelbe Tonne"
"Dienstag";"03.02.2026";"Biotonne"
"Montag";"09.02.2026";"Reststoff"
"Donnerstag";"12.02.2026";"Blaue Tonne"
"Dienstag";"17.02.2026";"Biotonne"
"Dienstag";"24.02.2026";"Gelbe Tonne"
"Dienstag";"03.03.2026";"Biotonne"
"Montag";"09.03.2026";"Reststoff"
"Donnerstag";"12.03.2026";"Blaue Tonne"
"Dienstag";"17.03.2026";"Biotonne"
"Dienstag";"24.03.2026";"Gelbe Tonne"
"Montag";"30.03.2026";"Biotonne"
"Dienstag";"07.04.2026";"Reststoff"
"Freitag";"10.04.2026";"Blaue Tonne"
"Dienstag";"14.04.2026";"Biotonne"
"Dienstag";"21.04.2026";"Gelbe Tonne"
"Montag";"27.04.2026";"Biotonne"
"Montag";"04.05.2026";"Reststoff"
"Donnerstag";"07.05.2026";"Blaue Tonne"
"Dienstag";"12.05.2026";"Biotonne"
"Dienstag";"19.05.2026";"Gelbe Tonne"
"Mittwoch";"27.05.2026";"Biotonne"
"Montag";"01.06.2026";"Reststoff"
"Donnerstag";"04.06.2026";"Blaue Tonne"
"Dienstag";"09.06.2026";"Biotonne"
"Dienstag";"16.06.2026";"Gelbe Tonne"
"Dienstag";"23.06.2026";"Biotonne"
"Montag";"29.06.2026";"Reststoff"
"Donnerstag";"02.07.2026";"Blaue Tonne"
"Dienstag";"07.07.2026";"Biotonne"
"Dienstag";"14.07.2026";"Gelbe Tonne"
"Dienstag";"21.07.2026";"Biotonne"
"Montag";"27.07.2026";"Reststoff"
"Donnerstag";"30.07.2026";"Blaue Tonne"
"Dienstag";"04.08.2026";"Biotonne"
"Dienstag";"11.08.2026";"Gelbe Tonne"
"Dienstag";"18.08.2026";"Biotonne"
"Montag";"24.08.2026";"Reststoff"
"Donnerstag";"27.08.2026";"Blaue Tonne"
"Dienstag";"01.09.2026";"Biotonne"
"Dienstag";"08.09.2026";"Gelbe Tonne"
"Dienstag";"15.09.2026";"Biotonne"
"Montag";"21.09.2026";"Reststoff"
"Donnerstag";"24.09.2026";"Blaue Tonne"
"Dienstag";"29.09.2026";"Biotonne"
"Dienstag";"06.10.2026";"Gelbe Tonne"
"Dienstag";"13.10.2026";"Biotonne"
"Montag";"19.10.2026";"Reststoff"
"Donnerstag";"22.10.2026";"Blaue Tonne"
"Dienstag";"27.10.2026";"Biotonne"
"Dienstag";"03.11.2026";"Gelbe Tonne"
"Dienstag";"10.11.2026";"Biotonne"
"Montag";"16.11.2026";"Reststoff"
"Donnerstag";"19.11.2026";"Blaue Tonne"
"Dienstag";"24.11.2026";"Biotonne"
"Dienstag";"01.12.2026";"Gelbe Tonne"
"Dienstag";"08.12.2026";"Biotonne"
"Montag";"14.12.2026";"Reststoff"
"Donnerstag";"17.12.2026";"Blaue Tonne"
"Montag";"21.12.2026";"Biotonne"
"Dienstag";"29.12.2026";"Gelbe Tonne"
